player_id,player_display_name,position,recent_team,age,proj_points,proj_boom_weeks,proj_boom_rate,carry_share,prior_pts,prior_boom_rate,replacement_pts,vor,sim_value,overall_rank,proj_season,is_rookie,draft_round,draft_pick,bye_week
00-0038559,Michael Wilson,WR,ARI,26.0,136.7980041504,1.805169,0.10618641,0.0,229.6,0.2352941176,89.7821807861,47.0158233643,27.8696198965,62,2026,False,0,0,14
00-0038124,Christian Watson,WR,GB,27.0,136.7554626465,1.650443,0.09708488,0.0021321962,135.4,0.3,89.7821807861,46.9732818604,27.8444025238,63,2026,False,0,0,11
00-0036971,Trevor Lawrence,QB,JAX,27.0,290.2836147339,7.3400664,0.43176863,0.1587982833,358.18,0.4705882353,210.3753976643,79.9082170696,27.5221930337,64,2026,False,0,0,7
00-0037240,Jameson Williams,WR,DET,25.0,135.638671875,1.5134403,0.0890259,0.0139534884,231.1,0.2352941176,89.7821807861,45.8564910889,27.1824012638,65,2026,False,0,0,6
00-0033906,Alvin Kamara,RB,NO,31.0,146.3753204346,1.9903885,0.11708168,0.3067915691,104.7,0.0,91.2315444946,55.1437759399,27.156676049,66,2026,False,0,0,8
00-0036919,Kenneth Gainwell,RB,TB,27.0,146.1450195312,1.8335199,0.10785411,0.2886075949,223.3,0.2352941176,91.2315444946,54.9134750366,27.0432596766,67,2026,False,0,0,10
00-0038597,Chase Brown,RB,CIN,26.0,145.8283081055,2.6718526,0.15716779,0.6180371353,277.4,0.1764705882,91.2315444946,54.5967636108,26.8872886818,68,2026,False,0,0,6
00-0036407,Jerry Jeudy,WR,CLE,27.0,134.5761260986,1.6009132,0.09417136,0.0023980815,122.7,0.0,89.7821807861,44.7939453125,26.5525548676,69,2026,False,0,0,11
00-0033293,Aaron Jones,RB,MIN,32.0,144.1713256836,1.8235412,0.10726713,0.3333333333,120.7,0.0,91.2315444946,52.939781189,26.0712739262,70,2026,False,0,0,6
00-0030279,Keenan Allen,WR,LAC,34.0,133.5441131592,1.374797,0.08087041,0.0,185.7,0.0588235294,89.7821807861,43.761932373,25.9408074538,71,2026,False,0,0,7
00-0039732,Bo Nix,QB,DEN,26.0,282.0149412137,7.52376,0.4425741,0.1503416856,325.54,0.4705882353,210.3753976643,71.6395435494,24.6742752963,72,2026,False,0,0,10
00-0035640,DK Metcalf,WR,PIT,29.0,130.4144134521,1.2896142,0.07585966,0.0050632911,193.2,0.1333333333,89.7821807861,40.632232666,24.0856120114,73,2026,False,0,0,9
00-0039918,Caleb Williams,QB,CHI,25.0,279.9424354832,7.4069138,0.4357008,0.1330645161,329.38,0.4705882353,210.3753976643,69.5670378189,23.960457558,74,2026,False,0,0,10
00-0033077,Dak Prescott,QB,DAL,33.0,279.2767397065,6.697175,0.39395148,0.0825892857,340.98,0.5882352941,210.3753976643,68.9013420422,23.7311769116,75,2026,False,0,0,14
DKBF-060-JADARIAN-PRICE,Jadarian Price,RB,SEA,,137.3583050617,1.6630083272,0.0978240192,0.3927252516,,,91.2315444946,46.1267605671,22.7160631016,76,2026,False,0,0,11
00-0036389,Jalen Hurts,QB,PHI,28.0,275.0436926804,6.6988945,0.39405262,0.2012847966,317.56,0.4375,210.3753976643,64.6682950161,22.2732199999,77,2026,False,0,0,10
00-0038544,Quentin Johnston,WR,LAC,25.0,126.6043548584,1.3736362,0.080802135,0.0044247788,176.2,0.2307692308,89.7821807861,36.8221740723,21.8271195042,78,2026,False,0,0,7
00-0040129,Emeka Egbuka,WR,TB,24.0,125.3344039917,1.3459033,0.07917078,0.0064655172,202.7,0.2352941176,89.7821807861,35.5522232056,21.0743293708,79,2026,False,0,0,10
00-0034855,Baker Mayfield,QB,TB,31.0,271.5096810139,5.114132,0.3008313,0.1012931034,291.82,0.2352941176,210.3753976643,61.1342833496,21.0560266394,80,2026,False,0,0,10
00-0035659,Terry McLaurin,WR,WAS,31.0,124.2308883667,1.3511127,0.07947722,0.0,114.2,0.1,89.7821807861,34.4487075806,20.4201972336,81,2026,False,0,0,7
00-0036158,J.K. Dobbins,RB,DEN,28.0,131.2732696533,1.8975705,0.1116218,0.3485193622,121.9,0.0,91.2315444946,40.0417251587,19.7193634285,82,2026,False,0,0,10
00-0039384,Tyrone Tracy Jr.,RB,NYG,27.0,129.8766021729,1.6042141,0.09436554,0.3505976096,165.8,0.1333333333,91.2315444946,38.6450576782,19.0315460698,83,2026,False,0,0,8
00-0038977,Tank Dell,WR,HOU,27.0,121.6978988647,1.2061486,0.07094992,0.0227272727,143.0,0.1428571429,89.7821807861,31.9157180786,18.9187143376,84,2026,False,0,0,8
00-0040784,Quinshon Judkins,RB,CLE,23.0,129.4886779785,1.5817318,0.093043044,0.5539568345,161.7,0.1428571429,91.2315444946,38.2571334839,18.8405048961,85,2026,False,0,0,11
00-0036970,Kyle Pitts,TE,ATL,26.0,152.7532501221,1.7147689,0.10086876,0.0,213.8,0.0588235294,125.5790863037,27.1741638184,18.6693442645,86,2026,False,0,0,11
00-0039849,Marvin Harrison Jr.,WR,ARI,24.0,120.9910125732,1.3008604,0.0765212,0.0,125.8,0.0833333333,89.7821807861,31.2088317871,18.4996925946,87,2026,False,0,0,14
00-0037261,Khalil Shakir,WR,BUF,26.0,120.0352172852,1.7190032,0.101117834,0.0019157088,165.1,0.0625,89.7821807861,30.253036499,17.9331247995,88,2026,False,0,0,7
00-0036875,Rhamondre Stevenson,RB,NE,28.0,126.2158508301,1.4668599,0.08628588,0.2805139186,178.4,0.1428571429,91.2315444946,34.9843063354,17.228734481,89,2026,False,0,0,11
00-0036613,Jaylen Waddle,WR,DEN,28.0,118.7490386963,1.4098328,0.08293134,0.0047169811,197.12,0.125,89.7821807861,28.9668579102,17.1707153419,90,2026,False,0,0,10
00-0033873,Patrick Mahomes,QB,KC,31.0,260.0388387078,6.055398,0.3561999,0.131147541,299.38,0.5714285714,210.3753976643,49.6634410435,17.1052097174,91,2026,False,0,0,5
00-0036355,Justin Herbert,QB,LAC,28.0,258.4187385495,5.579196,0.328188,0.1637168142,312.68,0.375,210.3753976643,48.0433408851,16.5472106664,92,2026,False,0,0,7
00-0036252,Michael Pittman,WR,PIT,29.0,117.2489700317,0.8718826,0.05128721,0.0,205.0,0.1764705882,89.7821807861,27.4667892456,16.2815180354,93,2026,False,0,0,9
00-0040734,TreVeyon Henderson,RB,NE,24.0,123.9252090454,1.257634,0.073978476,0.3854389722,214.2,0.1764705882,91.2315444946,32.6936645508,16.100661261,94,2026,False,0,0,11
00-0039868,Troy Franklin,WR,DEN,23.0,116.9186019897,1.5325868,0.09015217,0.0113895216,173.1,0.1764705882,89.7821807861,27.1364212036,16.0856854178,95,2026,False,0,0,10
00-0034796,Lamar Jackson,QB,BAL,29.0,257.0079716911,3.8262877,0.22507575,0.1183673469,226.86,0.4615384615,210.3753976643,46.6325740268,16.0613107273,96,2026,False,0,0,13
00-0036912,DeVonta Smith,WR,PHI,28.0,116.5288238525,1.4176303,0.08339002,0.0,207.8,0.1764705882,89.7821807861,26.7466430664,15.8546362146,97,2026,False,0,0,10
00-0036555,Chuba Hubbard,RB,CAR,27.0,122.7974700928,1.2920187,0.0760011,0.3040540541,123.6,0.0666666667,91.2315444946,31.5659255981,15.5452832354,98,2026,False,0,0,5
00-0040583,Woody Marks,RB,HOU,26.0,122.5513916016,1.2904364,0.07590802,0.4326710817,145.1,0.0625,91.2315444946,31.3198471069,15.4240968684,99,2026,False,0,0,8
00-0034351,Dallas Goedert,TE,PHI,31.0,147.9375610352,1.6396176,0.09644809,0.0,188.1,0.1333333333,125.5790863037,22.3584747314,15.3608429235,100,2026,False,0,0,10
00-0036264,Jordan Love,QB,GB,28.0,254.6956317,3.4220495,0.20129703,0.0724946695,248.34,0.3333333333,210.3753976643,44.3202340357,15.264888658,101,2026,False,0,0,11
00-0038563,Tre Tucker,WR,LV,25.0,115.3034667969,1.0218415,0.060108326,0.0303030303,164.7,0.0588235294,89.7821807861,25.5212860107,15.1282800022,102,2026,False,0,0,13
00-0034869,Sam Darnold,QB,SEA,29.0,254.2050803209,3.3797817,0.1988107,0.0446247465,264.72,0.2352941176,210.3753976643,43.8296826566,15.0959316941,103,2026,False,0,0,11
00-0039391,Kimani Vidal,RB,LAC,25.0,120.8409194946,1.321321,0.07772476,0.342920354,126.9,0.25,91.2315444946,29.609375,14.5817400275,104,2026,False,0,0,7
00-0039338,Brock Bowers,TE,LV,24.0,145.2207946777,1.6407502,0.09651472,0.0055096419,180.2,0.1666666667,125.5790863037,19.641708374,13.4943550804,105,2026,False,0,0,13
00-0039165,Zach Charbonnet,RB,SEA,25.0,118.0032653809,1.1907741,0.07004553,0.3752535497,179.2,0.0625,91.2315444946,26.7717208862,13.1842794402,106,2026,False,0,0,11
00-0040663,Harold Fannin Jr.,TE,CLE,22.0,144.3069610596,2.0254202,0.11914236,0.0167865707,191.4,0.0625,125.5790863037,18.7278747559,12.8665280557,107,2026,False,0,0,11
00-0039915,Ladd McConkey,WR,LAC,25.0,111.2842407227,1.1358085,0.06681226,0.0,186.9,0.1875,89.7821807861,21.5020599365,12.7457990639,108,2026,False,0,0,7
00-0034753,Mark Andrews,TE,BAL,31.0,143.841003418,1.5545495,0.09144408,0.0204081633,131.0,0.0588235294,125.5790863037,18.2619171143,12.5464032606,109,2026,False,0,0,13
00-0031408,Mike Evans,WR,SF,33.0,109.8321990967,0.9396665,0.0552745,0.0,87.8,0.125,89.7821807861,20.0500183105,11.8850707964,110,2026,False,0,0,8
00-0040170,Elic Ayomanor,WR,TEN,23.0,109.7105789185,0.99709225,0.058652487,0.0,116.5,0.0,89.7821807861,19.9283981323,11.8129778733,111,2026,False,0,0,9
00-0039894,Xavier Worthy,WR,KC,23.0,109.6760406494,1.0592372,0.062308073,0.0257611241,109.9,0.0,89.7821807861,19.8938598633,11.7925045866,112,2026,False,0,0,5
00-0033553,James Conner,RB,ARI,31.0,113.2455291748,1.1112089,0.06536523,0.08815427,33.3,0.0,91.2315444946,22.0139846802,10.8412353038,113,2026,False,0,0,14
00-0036442,Joe Burrow,QB,CIN,30.0,241.6274809864,5.64477,0.33204532,0.0344827586,145.56,0.5,210.3753976643,31.2520833221,10.7639226783,114,2026,False,0,0,6
00-0037816,Romeo Doubs,WR,NE,26.0,107.8407058716,0.8164113,0.048024196,0.0,163.4,0.0625,89.7821807861,18.0585250854,10.7045712275,115,2026,False,0,0,11
00-0031588,Stefon Diggs,WR,NE,33.0,104.4657440186,1.0958071,0.06445924,0.0,225.3,0.2352941176,89.7821807861,14.6835632324,8.7039914806,116,2026,False,0,0,11
DKBF-175-DEZHAUN-STRIBLING,Dezhaun Stribling,WR,SF,,103.4011941863,1.0326431038,0.060743712,0.0141093024,,,89.7821807861,13.6190134002,8.072957138,117,2026,False,0,0,8
DKBF-178-TYREEK-HILL,Tyreek Hill,WR,FA,,103.294263361,1.0294338785,0.060554934,0.0130833387,,,89.7821807861,13.5120825749,8.0095716384,118,2026,False,0,0,0
DKBF-126-KC-CONCEPCION,Kc Concepcion,WR,CLE,,102.9381850134,1.0042999145,0.0590764656,0.0049006841,,,89.7821807861,13.1560042273,7.7984986954,119,2026,False,0,0,11
00-0037834,Brock Purdy,QB,SF,27.0,232.1067110787,5.2082815,0.3063695,0.0627705628,195.78,0.4444444444,210.3753976643,21.7313134144,7.4847546923,120,2026,False,0,0,8
00-0033923,Kareem Hunt,RB,KC,31.0,105.5420761108,0.9865658,0.058033284,0.3817330211,150.4,0.0588235294,91.2315444946,14.3105316162,7.04751288,121,2026,False,0,0,5
00-0039921,Trey Benson,RB,ARI,24.0,105.3323669434,1.0111419,0.059478935,0.0798898072,35.4,0.0,91.2315444946,14.1008224487,6.9442373276,122,2026,False,0,0,14
00-0040705,Chimere Dike,WR,TEN,25.0,100.4365386963,1.0159448,0.05976146,0.0295698925,116.1,0.0,89.7821807861,10.6543579102,6.3155951327,123,2026,False,0,0,9
00-0040730,RJ Harvey,RB,DEN,25.0,103.6248626709,1.1370459,0.066885054,0.3348519362,202.1,0.2352941176,91.2315444946,12.3933181763,6.1033420572,124,2026,False,0,0,10
00-0039890,Adonai Mitchell,WR,NYJ,24.0,99.5139770508,0.691454,0.040673763,0.0022075055,92.9,0.0625,89.7821807861,9.7317962646,5.7687272794,125,2026,False,0,0,13
00-0040236,Kyle Monangai,RB,CHI,24.0,102.4276733398,0.83882654,0.049342737,0.3447580645,141.6,0.1176470588,91.2315444946,11.1961288452,5.5137617776,126,2026,False,0,0,10
